STATISTIC,Statistic Label,Week,Year,C03132V03784,Luas Line,UNIT,VALUE
TII03C01,Passenger Journeys,43,2019,-,All Luas lines,Number,1028522
TII03C01,Passenger Journeys,43,2019,1,Red line,Number,502241
TII03C01,Passenger Journeys,43,2019,2,Green line,Number,526281
TII03C01,Passenger Journeys,44,2019,-,All Luas lines,Number,924586
TII03C01,Passenger Journeys,44,2019,1,Red line,Number,471553
TII03C01,Passenger Journeys,44,2019,2,Green line,Number,453032
TII03C01,Passenger Journeys,45,2019,-,All Luas lines,Number,1019705
TII03C01,Passenger Journeys,45,2019,1,Red line,Number,497796
TII03C01,Passenger Journeys,45,2019,2,Green line,Number,521908
TII03C01,Passenger Journeys,46,2019,-,All Luas lines,Number,1038825
TII03C01,Passenger Journeys,46,2019,1,Red line,Number,514523
TII03C01,Passenger Journeys,46,2019,2,Green line,Number,524302
TII03C01,Passenger Journeys,47,2019,-,All Luas lines,Number,1062275
TII03C01,Passenger Journeys,47,2019,1,Red line,Number,530882
TII03C01,Passenger Journeys,47,2019,2,Green line,Number,531392
TII03C01,Passenger Journeys,48,2019,-,All Luas lines,Number,1113668
TII03C01,Passenger Journeys,48,2019,1,Red line,Number,544022
TII03C01,Passenger Journeys,48,2019,2,Green line,Number,569646
TII03C01,Passenger Journeys,49,2019,-,All Luas lines,Number,1080791
TII03C01,Passenger Journeys,49,2019,1,Red line,Number,519257
TII03C01,Passenger Journeys,49,2019,2,Green line,Number,561534
TII03C01,Passenger Journeys,50,2019,-,All Luas lines,Number,1151098
TII03C01,Passenger Journeys,50,2019,1,Red line,Number,556229
TII03C01,Passenger Journeys,50,2019,2,Green line,Number,594869
TII03C01,Passenger Journeys,51,2019,-,All Luas lines,Number,1173473
TII03C01,Passenger Journeys,51,2019,1,Red line,Number,550775
TII03C01,Passenger Journeys,51,2019,2,Green line,Number,622699
TII03C01,Passenger Journeys,52,2019,-,All Luas lines,Number,538511
TII03C01,Passenger Journeys,52,2019,1,Red line,Number,259211
TII03C01,Passenger Journeys,52,2019,2,Green line,Number,279301
TII03C01,Passenger Journeys,53,2019,-,All Luas lines,Number,
TII03C01,Passenger Journeys,53,2019,1,Red line,Number,
TII03C01,Passenger Journeys,53,2019,2,Green line,Number,
TII03C01,Passenger Journeys,1,2020,-,All Luas lines,Number,602998
TII03C01,Passenger Journeys,1,2020,1,Red line,Number,304607
TII03C01,Passenger Journeys,1,2020,2,Green line,Number,298391
TII03C01,Passenger Journeys,2,2020,-,All Luas lines,Number,828455
TII03C01,Passenger Journeys,2,2020,1,Red line,Number,401704
TII03C01,Passenger Journeys,2,2020,2,Green line,Number,426751
TII03C01,Passenger Journeys,3,2020,-,All Luas lines,Number,889804
TII03C01,Passenger Journeys,3,2020,1,Red line,Number,436427
TII03C01,Passenger Journeys,3,2020,2,Green line,Number,453378
TII03C01,Passenger Journeys,4,2020,-,All Luas lines,Number,904841
TII03C01,Passenger Journeys,4,2020,1,Red line,Number,438798
TII03C01,Passenger Journeys,4,2020,2,Green line,Number,466044
TII03C01,Passenger Journeys,5,2020,-,All Luas lines,Number,942828
TII03C01,Passenger Journeys,5,2020,1,Red line,Number,460495
TII03C01,Passenger Journeys,5,2020,2,Green line,Number,482333
TII03C01,Passenger Journeys,6,2020,-,All Luas lines,Number,920121
TII03C01,Passenger Journeys,6,2020,1,Red line,Number,460914
TII03C01,Passenger Journeys,6,2020,2,Green line,Number,459207
TII03C01,Passenger Journeys,7,2020,-,All Luas lines,Number,911461
TII03C01,Passenger Journeys,7,2020,1,Red line,Number,448811
TII03C01,Passenger Journeys,7,2020,2,Green line,Number,462651
TII03C01,Passenger Journeys,8,2020,-,All Luas lines,Number,923869
TII03C01,Passenger Journeys,8,2020,1,Red line,Number,461085
TII03C01,Passenger Journeys,8,2020,2,Green line,Number,462784
TII03C01,Passenger Journeys,9,2020,-,All Luas lines,Number,898856
TII03C01,Passenger Journeys,9,2020,1,Red line,Number,437082
TII03C01,Passenger Journeys,9,2020,2,Green line,Number,461774
TII03C01,Passenger Journeys,10,2020,-,All Luas lines,Number,914613
TII03C01,Passenger Journeys,10,2020,1,Red line,Number,472655
TII03C01,Passenger Journeys,10,2020,2,Green line,Number,441958
TII03C01,Passenger Journeys,11,2020,-,All Luas lines,Number,684508
TII03C01,Passenger Journeys,11,2020,1,Red line,Number,347419
TII03C01,Passenger Journeys,11,2020,2,Green line,Number,337090
TII03C01,Passenger Journeys,12,2020,-,All Luas lines,Number,172062
TII03C01,Passenger Journeys,12,2020,1,Red line,Number,94591
TII03C01,Passenger Journeys,12,2020,2,Green line,Number,77471
TII03C01,Passenger Journeys,13,2020,-,All Luas lines,Number,109378
TII03C01,Passenger Journeys,13,2020,1,Red line,Number,64188
TII03C01,Passenger Journeys,13,2020,2,Green line,Number,45190
TII03C01,Passenger Journeys,14,2020,-,All Luas lines,Number,51655
TII03C01,Passenger Journeys,14,2020,1,Red line,Number,30357
TII03C01,Passenger Journeys,14,2020,2,Green line,Number,21298
TII03C01,Passenger Journeys,15,2020,-,All Luas lines,Number,51695
TII03C01,Passenger Journeys,15,2020,1,Red line,Number,31902
TII03C01,Passenger Journeys,15,2020,2,Green line,Number,19793
TII03C01,Passenger Journeys,16,2020,-,All Luas lines,Number,49393
TII03C01,Passenger Journeys,16,2020,1,Red line,Number,29666
TII03C01,Passenger Journeys,16,2020,2,Green line,Number,19727
TII03C01,Passenger Journeys,17,2020,-,All Luas lines,Number,55246
TII03C01,Passenger Journeys,17,2020,1,Red line,Number,33589
TII03C01,Passenger Journeys,17,2020,2,Green line,Number,21657
TII03C01,Passenger Journeys,18,2020,-,All Luas lines,Number,53321
TII03C01,Passenger Journeys,18,2020,1,Red line,Number,30363
TII03C01,Passenger Journeys,18,2020,2,Green line,Number,22958
TII03C01,Passenger Journeys,19,2020,-,All Luas lines,Number,62327
TII03C01,Passenger Journeys,19,2020,1,Red line,Number,37373
TII03C01,Passenger Journeys,19,2020,2,Green line,Number,24953
TII03C01,Passenger Journeys,20,2020,-,All Luas lines,Number,70288
TII03C01,Passenger Journeys,20,2020,1,Red line,Number,42233
TII03C01,Passenger Journeys,20,2020,2,Green line,Number,28056
TII03C01,Passenger Journeys,21,2020,-,All Luas lines,Number,97318
TII03C01,Passenger Journeys,21,2020,1,Red line,Number,57828
TII03C01,Passenger Journeys,21,2020,2,Green line,Number,39490
TII03C01,Passenger Journeys,22,2020,-,All Luas lines,Number,121645
TII03C01,Passenger Journeys,22,2020,1,Red line,Number,70711
TII03C01,Passenger Journeys,22,2020,2,Green line,Number,50934
TII03C01,Passenger Journeys,23,2020,-,All Luas lines,Number,116454
TII03C01,Passenger Journeys,23,2020,1,Red line,Number,66098
TII03C01,Passenger Journeys,23,2020,2,Green line,Number,50356
TII03C01,Passenger Journeys,24,2020,-,All Luas lines,Number,162187
TII03C01,Passenger Journeys,24,2020,1,Red line,Number,91498
TII03C01,Passenger Journeys,24,2020,2,Green line,Number,70689
TII03C01,Passenger Journeys,25,2020,-,All Luas lines,Number,198036
TII03C01,Passenger Journeys,25,2020,1,Red line,Number,104738
TII03C01,Passenger Journeys,25,2020,2,Green line,Number,93298
TII03C01,Passenger Journeys,26,2020,-,All Luas lines,Number,212109
TII03C01,Passenger Journeys,26,2020,1,Red line,Number,111503
TII03C01,Passenger Journeys,26,2020,2,Green line,Number,100606
TII03C01,Passenger Journeys,27,2020,-,All Luas lines,Number,260302
TII03C01,Passenger Journeys,27,2020,1,Red line,Number,132545
TII03C01,Passenger Journeys,27,2020,2,Green line,Number,127756
TII03C01,Passenger Journeys,28,2020,-,All Luas lines,Number,272181
TII03C01,Passenger Journeys,28,2020,1,Red line,Number,144676
TII03C01,Passenger Journeys,28,2020,2,Green line,Number,127505
TII03C01,Passenger Journeys,29,2020,-,All Luas lines,Number,281255
TII03C01,Passenger Journeys,29,2020,1,Red line,Number,147109
TII03C01,Passenger Journeys,29,2020,2,Green line,Number,134146
TII03C01,Passenger Journeys,30,2020,-,All Luas lines,Number,299837
TII03C01,Passenger Journeys,30,2020,1,Red line,Number,153043
TII03C01,Passenger Journeys,30,2020,2,Green line,Number,146794
TII03C01,Passenger Journeys,31,2020,-,All Luas lines,Number,329979
TII03C01,Passenger Journeys,31,2020,1,Red line,Number,175329
TII03C01,Passenger Journeys,31,2020,2,Green line,Number,154650
TII03C01,Passenger Journeys,32,2020,-,All Luas lines,Number,324687
TII03C01,Passenger Journeys,32,2020,1,Red line,Number,173546
TII03C01,Passenger Journeys,32,2020,2,Green line,Number,151141
TII03C01,Passenger Journeys,33,2020,-,All Luas lines,Number,327981
TII03C01,Passenger Journeys,33,2020,1,Red line,Number,166560
TII03C01,Passenger Journeys,33,2020,2,Green line,Number,161421
TII03C01,Passenger Journeys,34,2020,-,All Luas lines,Number,332762
TII03C01,Passenger Journeys,34,2020,1,Red line,Number,176256
TII03C01,Passenger Journeys,34,2020,2,Green line,Number,156507
TII03C01,Passenger Journeys,35,2020,-,All Luas lines,Number,352046
TII03C01,Passenger Journeys,35,2020,1,Red line,Number,183972
TII03C01,Passenger Journeys,35,2020,2,Green line,Number,168074
TII03C01,Passenger Journeys,36,2020,-,All Luas lines,Number,364177
TII03C01,Passenger Journeys,36,2020,1,Red line,Number,181996
TII03C01,Passenger Journeys,36,2020,2,Green line,Number,182181
TII03C01,Passenger Journeys,37,2020,-,All Luas lines,Number,385884
TII03C01,Passenger Journeys,37,2020,1,Red line,Number,196461
TII03C01,Passenger Journeys,37,2020,2,Green line,Number,189424
TII03C01,Passenger Journeys,38,2020,-,All Luas lines,Number,359756
TII03C01,Passenger Journeys,38,2020,1,Red line,Number,183897
TII03C01,Passenger Journeys,38,2020,2,Green line,Number,175859
TII03C01,Passenger Journeys,39,2020,-,All Luas lines,Number,322384
TII03C01,Passenger Journeys,39,2020,1,Red line,Number,158777
TII03C01,Passenger Journeys,39,2020,2,Green line,Number,163607
TII03C01,Passenger Journeys,40,2020,-,All Luas lines,Number,334649
TII03C01,Passenger Journeys,40,2020,1,Red line,Number,167616
TII03C01,Passenger Journeys,40,2020,2,Green line,Number,167033
TII03C01,Passenger Journeys,41,2020,-,All Luas lines,Number,350028
TII03C01,Passenger Journeys,41,2020,1,Red line,Number,174748
TII03C01,Passenger Journeys,41,2020,2,Green line,Number,175280
